driver_id,name,phone,vehicle_type,is_active
1,Vihaan Chatterjee,9164996152,Bike,True
2,Saanvi Chatterjee,9798875374,Scooter,True
3,Om Chatterjee,9932706089,Cycle,True
4,Vivaan Nair,9549962224,Bike,True
5,Reyansh Das,9762925188,Scooter,True
6,Karan Singh,9234816545,Bike,True
7,Vivaan Joshi,9189201909,Bike,True
8,Vihaan Menon,9434663385,Bike,True
9,Vivaan Iyer,9524109381,Scooter,True
10,Anika Kulkarni,9025659589,Bike,True
11,Reyansh Nair,9721200545,Scooter,True
12,Aarav Das,9665569873,Scooter,False
13,Aadhya Iyer,9334190692,Cycle,False
14,Krishna Reddy,9606074564,Cycle,True
15,Avni Bhat,9078559267,Scooter,True
16,Kabir Gupta,9356636526,Scooter,True
17,Raj Bose,9835590732,Bike,True
18,Krishna Menon,9161986933,Scooter,True
19,Pari Iyer,9733653622,Scooter,True
20,Avni Bose,9715014665,Scooter,True
21,Aarav Kapoor,9250172328,Bike,False
22,Shruti Gupta,9247630437,Scooter,False
23,Pari Shetty,9833591973,Cycle,True
24,Ananya Gupta,9043496715,Scooter,False
25,Pari Bose,9103170225,Cycle,True
26,Ira Das,9771208107,Cycle,False
27,Vivaan Reddy,9740645988,Bike,True
28,Ananya Reddy,9509223285,Cycle,False
29,Aisha Verma,9323453126,Scooter,False
30,Kabir Bhat,9193476700,Cycle,True
31,Vivaan Khan,9242296472,Bike,True
32,Sai Kulkarni,9811884077,Bike,False
33,Krishna Singh,9851775420,Bike,False
34,Krishna Khan,9744891147,Cycle,True
35,Kabir Kapoor,9732529629,Scooter,False
36,Arjun Singh,9250474618,Bike,True
37,Om Mehta,9523749048,Cycle,True
38,Reyansh Iyer,9477952510,Bike,True
39,Aisha Singh,9034271720,Cycle,False
40,Vihaan Kapoor,9113005464,Scooter,True
41,Diya Menon,9360068321,Bike,True
42,Arjun Bose,9253250292,Cycle,True
43,Arjun Nair,9752010772,Cycle,True
44,Aditya Menon,9120352805,Bike,True
45,Saanvi Mehta,9702590668,Scooter,True
46,Neha Joshi,9513970715,Bike,True
47,Neha Chatterjee,9729670080,Cycle,True
48,Raj Gupta,9761687073,Bike,False
49,Aisha Bose,9189978854,Cycle,True
50,Navya Bhat,9591972821,Scooter,True
